pacbio_111116_Sunny_Martina_31,pacbio_111116_Sunny_Marti.1
pacbio_20120410_Claudia_and_Hang_44,pacbio_20120410_Claudia_a.1
pacbio_20120425_greentea_RT_PCRsunny_47,pacbio_20120425_greentea_.1
pacbio_20120518_6xSunny_2xAGHeilbronn_48,pacbio_20120518_6xSunny_2.1
pacbio_20120525_6xSunny_1xAna_51,pacbio_20120525_6xSunny_1.1
pacbio_20120613_2xSunny_2xAGHeilbronn_53,pacbio_20120613_2xSunny_2.1
pacbio_20120704_2xC8Alkyne_PCRtest_56,pacbio_20120704_2xC8Alkyn.1
pacbio_20120720_4xSunny_2xAna_59,pacbio_20120720_4xSunny_2.1
pacbio_20120829_3xSunny_x2_2xCharite_70,pacbio_20120829_3xSunny_x.1
pacbio_20120912_2xZhixing_2xMarburg_77,pacbio_20120912_2xZhixing.1
pacbio_20120926_52x3Marburg_54ZhixingWTx2_55ZhixingTEx2_80,pacbio_20120926_52x3Marbu.1
pacbio_20121010_magbead_sunny2kb_85,pacbio_20121010_magbead_s.1
pacbio_20121018_C8AlkynedU1x_dC1x_SOLO_87,pacbio_20121018_C8Alkyned.1
pacbio_201210xx_C8AlkynedU1x_dC1x_Sunny2kb3x_83,pacbio_201210xx_C8Alkyned.1
pacbio_20121221_sunny_dscam_59-62_98,pacbio_20121221_sunny_dsc.1
pacbio_2012_04_05_testrun_iLambda_43,pacbio_2012_04_05_testrun.1
pacbio_2013-02-05testrunLAMBDA_120,pacbio_2013-02-05testrunL.1
pacbio_2013-02-13_64sunny_73_77marburg_133,pacbio_2013-02-13_64sunny.1
pacbio_2013-02-14_SPRET_67_68_139,pacbio_2013-02-14_SPRET_6.1
pacbio_2013-02-15_TURTLE_71_72_143,pacbio_2013-02-15_TURTLE_.1
pacbio_2013-02-17x18AGAIN_magbeadSPRET_156,pacbio_2013-02-17x18AGAIN.1
pacbio_2013-02-19magb_TURTLE_160,pacbio_2013-02-19magb_TUR.1
pacbio_2013-03-08_78_79_81_82_charite_170,pacbio_2013-03-08_78_79_8.1
pacbio_2013-03-19_88_89_83_84_85_176,pacbio_2013-03-19_88_89_8.1
pacbio_2013-03-2083_84_85_86B_87B_181,pacbio_2013-03-2083_84_85.1
pacbio_2013-03-21_Zhixing_86B_87B_186,pacbio_2013-03-21_Zhixing.1
pacbio_2013-03-27MArburg73_77_purifII_192,pacbio_2013-03-27MArburg7.1
